Transaction_Value,SAR,No_Of_Monthly_Transactions,Age,Sex,High_Risk_Country,Vulnerable_Area,Intention_International_Payments,Intention_Cash_Deposits,High_Risk_Transaction,Average_Value_Per_Transaction,Transaction_Cash,Transaction_International,Transaction_Wire,Age_Is_young,Age_Is_lower_middle,Age_Is_upper_middle,Age_Is_old
10778,1,15,28,1,0,0,1,0,0,718.5333333333333,0,0,1,0,1,0,0
10653,0,6,80,1,0,0,0,0,0,1775.5,0,0,1,0,0,0,1
9373,0,15,80,1,0,0,0,0,0,624.8666666666667,0,0,1,0,0,0,1
11355,0,13,79,0,0,0,0,0,0,873.4615384615385,0,0,1,0,0,0,1
12591,1,10,79,0,0,0,0,0,0,1259.1,0,0,1,0,0,0,1
10051,0,13,79,0,0,0,0,0,0,773.1538461538462,0,0,1,0,0,0,1
9172,1,11,79,0,0,0,0,0,0,833.8181818181819,0,0,1,0,0,0,1
10469,0,17,34,0,0,0,0,0,0,615.8235294117648,0,0,1,0,1,0,0
13285,0,16,34,0,0,0,0,0,0,830.3125,0,0,1,0,1,0,0
10245,0,17,34,0,0,0,0,0,0,602.6470588235294,0,0,1,0,1,0,0
11173,0,16,34,0,0,0,0,0,0,698.3125,0,0,1,0,1,0,0
13539,0,16,34,0,0,0,0,0,0,846.1875,0,0,1,0,1,0,0
10808,0,10,34,0,0,0,0,0,0,1080.8,0,0,1,0,1,0,0
13869,0,6,34,0,0,0,0,0,0,2311.5,0,0,1,0,1,0,0
11538,0,14,34,0,0,0,0,0,0,824.1428571428571,0,0,1,0,1,0,0
11293,0,11,58,1,0,0,0,0,0,1026.6363636363637,0,0,1,0,0,1,0
11655,1,14,58,1,0,0,0,0,0,832.5,0,0,1,0,0,1,0
16366,0,7,58,1,0,0,0,0,0,2338.0,0,0,1,0,0,1,0
14601,0,9,58,1,0,0,0,0,0,1622.3333333333333,0,0,1,0,0,1,0
17569,1,18,58,1,0,0,0,0,0,976.0555555555555,0,0,1,0,0,1,0
11776,0,13,58,1,0,0,0,0,0,905.8461538461538,0,0,1,0,0,1,0
9645,0,10,58,1,0,0,0,0,0,964.5,0,0,1,0,0,1,0
17666,1,16,58,1,0,0,0,0,0,1104.125,0,0,1,0,0,1,0
9702,0,17,58,1,0,0,0,0,0,570.7058823529412,0,0,1,0,0,1,0
10789,0,17,42,1,0,0,1,1,0,634.6470588235294,0,0,1,0,1,0,0
11157,0,12,37,1,0,0,0,0,0,929.75,0,0,1,0,1,0,0
