Transaction_Value,No_Of_Monthly_Transactions,Age,Sex,High_Risk_Country,Vulnerable_Area,Intention_International_Payments,Intention_Cash_Deposits,High_Risk_Transaction,Average_Value_Per_Transaction,Transaction_Cash,Transaction_Wire,Age_Is_young,Age_Is_lower_middle,Age_Is_upper_middle,Age_Is_old
4667,9,28,1,0,0,1,0,0,518.5555555555555,0,1,0,1,0,0
4449,16,28,1,0,0,1,0,0,278.0625,0,1,0,1,0,0
5138,8,28,1,0,0,1,0,0,642.25,0,1,0,1,0,0
3376,13,28,1,0,0,1,0,0,259.6923076923077,0,1,0,1,0,0
6031,9,28,1,0,0,1,0,0,670.1111111111111,0,1,0,1,0,0
3834,9,28,1,0,0,1,0,0,426.0,0,1,0,1,0,0
3282,12,28,1,0,0,1,0,0,273.5,0,1,0,1,0,0
5980,10,28,1,0,0,1,0,0,598.0,0,1,0,1,0,0
4114,11,28,1,0,0,1,0,0,374.0,0,1,0,1,0,0
4989,11,28,1,0,0,1,0,0,453.54545454545456,0,1,0,1,0,0
6416,18,28,1,0,0,1,0,0,356.44444444444446,0,1,0,1,0,0
8573,12,80,1,0,0,0,0,0,714.4166666666666,0,1,0,0,0,1
7818,12,80,1,0,0,0,0,0,651.5,0,1,0,0,0,1
6536,12,80,1,0,0,0,0,0,544.6666666666666,0,1,0,0,0,1
4176,12,80,1,0,0,0,0,0,348.0,0,1,0,0,0,1
5875,11,80,1,0,0,0,0,0,534.0909090909091,0,1,0,0,0,1
7892,9,80,1,0,0,0,0,0,876.8888888888889,0,1,0,0,0,1
5585,10,80,1,0,0,0,0,0,558.5,0,1,0,0,0,1
6485,18,80,1,0,0,0,0,0,360.27777777777777,0,1,0,0,0,1
7850,13,80,1,0,0,0,0,0,603.8461538461538,0,1,0,0,0,1
5205,9,80,1,0,0,0,0,0,578.3333333333334,0,1,0,0,0,1
5856,18,79,0,0,0,0,0,0,325.3333333333333,0,1,0,0,0,1
5418,15,79,0,0,0,0,0,0,361.2,0,1,0,0,0,1
