Customer_ID,Customer_ID_Counterparty,Transaction_Value,Transaction_Type,Month
143,,-221,Wire,Jan
758,,13,Wire,Jan
485,,25,Wire,Jan
238,,-456,Wire,Jan
858,,-4,Wire,Jan
414,,5,Wire,Jan
888,,-148,Wire,Jan
916,,-1373,Wire,Jan
752,,23,Wire,Jan
931,,-103,Wire,Jan
123,,-1992,Wire,Jan
896,,-1055,Wire,Jan
26,,-498,Wire,Jan
884,241,4,Wire,Jan
16,,-44,Wire,Jan
244,,19,Wire,Jan
148,,-603,Wire,Jan
796,,-492,Wire,Jan
554,,12,Wire,Jan
470,,69,Wire,Jan
179,,-957,Wire,Jan
128,,-707,Wire,Jan
990,,-881,Wire,Jan
368,127,12,Wire,Jan
185,,6,Wire,Jan
59,,4924,Salary,Jan
612,,-663,Wire,Jan
431,,-668,Wire,Jan
827,,52,Wire,Jan
901,,9,Wire,Jan
920,,40,Wire,Jan
30,,-494,Wire,Jan
163,,-1345,Wire,Jan
302,,-684,Wire,Jan
298,,-220,Wire,Jan
194,,-1628,Wire,Jan
953,,7,Wire,Jan
540,,-94,Wire,Jan
743,899,59,Wire,Jan
289,,-666,Wire,Jan
137,,-288,Wire,Jan
185,,-77,Wire,Jan
16,,-155,Wire,Jan
382,,-1860,International,Jan
154,,-3,Wire,Jan
7,,-98,Wire,Jan
755,,-323,Wire,Jan
709,,6,Wire,Jan
841,,-242,Wire,Jan
349,,-141,Wire,Jan
726,,-516,Wire,Jan
350,,-443,Wire,Jan
71,,17,Wire,Jan
298,,19,Wire,Jan
739,,-343,Wire,Jan
520,,9,Wire,Jan
344,435,-6,Wire,Jan
944,,-32,Wire,Jan
507,672,8,Wire,Jan
162,,21,Wire,Jan
158,,-848,Wire,Jan
930,,2762,Salary,Jan
270,,-535,Wire,Jan
328,,9,Wire,Jan
777,,-2083,Wire,Jan
29,,1240,Cash,Jan
791,,-636,Wire,Jan
547,,23,Wire,Jan
877,383,1,Wire,Jan
558,,-1703,Wire,Jan
389,,38,Wire,Jan
38,,47,Wire,Jan
547,,-497,Wire,Jan
477,,-2191,Wire,Jan
507,,-417,Wire,Jan
968,,-690,Wire,Jan
724,,-72,Wire,Jan
417,,-568,Wire,Jan
416,,-18,Wire,Jan
548,,-34,Wire,Jan
335,,-1285,Wire,Jan
32,,-46,Wire,Jan
489,,-45,Wire,Jan
473,,-78,Wire,Jan
976,83,-15,Wire,Jan
807,,-1174,Wire,Jan
998,,-424,Wire,Jan
634,,9948,Salary,Jan
61,,-479,Wire,Jan
355,,-498,Wire,Jan
841,,-215,Wire,Jan
921,,-35,Wire,Jan
948,,-349,Wire,Jan
140,,-471,Wire,Jan
773,,-528,Wire,Jan
269,,-1515,Wire,Jan
218,,-581,Wire,Jan
521,,-160,Wire,Jan
930,,-918,Wire,Jan
599,,18,Wire,Jan
931,,-253,Wire,Jan
228,,-1810,International,Jan
914,,-2283,Wire,Jan
69,,-23,Wire,Jan
763,,-1790,Wire,Jan
777,,-1785,Wire,Jan
625,,-74,Wire,Jan
703,,-216,Wire,Jan
186,,-928,Wire,Jan
881,,-377,Wire,Jan
136,,12,Wire,Jan
121,,-1555,Wire,Jan
971,,-117,Wire,Jan
367,,-452,Wire,Jan
531,,-381,Wire,Jan
774,,-847,Wire,Jan
648,,-17,Wire,Jan
119,,-666,Wire,Jan
868,,-3,Wire,Jan
345,,-1089,Wire,Jan
3,,6293,Salary,Jan
7,,-834,Wire,Jan
625,,-572,Wire,Jan
648,,-109,Wire,Jan
923,,-290,Wire,Jan
440,151,8,Wire,Jan
88,824,1,Wire,Jan
317,,23,Wire,Jan
611,678,-8,Wire,Jan
866,,-253,Wire,Jan
313,,-153,Wire,Jan
886,,-533,Wire,Jan
720,,-1983,Wire,Jan
937,,22,Wire,Jan
601,166,-13,Wire,Jan
792,,-2155,Wire,Jan
35,,-647,Wire,Jan
314,,-1883,Wire,Jan
429,,-130,Cash,Jan
148,228,14,Wire,Jan
784,,33,Wire,Jan
437,,-788,Wire,Jan
955,,29,Wire,Jan
55,108,-5,Wire,Jan
743,,2951,Salary,Jan
978,,-56,Wire,Jan
76,,14,Wire,Jan
181,,-42,Wire,Jan
158,,-2086,Wire,Jan
884,,-1012,Wire,Jan
36,,-1195,Wire,Jan
673,,-352,Wire,Jan
607,,-287,Wire,Jan
17,,-124,Wire,Jan
93,,20,Wire,Jan
850,,-1174,Wire,Jan
433,,60,Wire,Jan
595,,-237,Wire,Jan
58,,-241,Wire,Jan
373,,-55,Wire,Jan
265,,-156,Wire,Jan
887,,-50,Wire,Jan
929,,9915,Salary,Jan
255,,6,Wire,Jan
250,,-73,Wire,Jan
451,,-1179,Wire,Jan
457,,-729,Wire,Jan
278,,-62,Wire,Jan
379,,-125,Wire,Jan
496,,-856,Wire,Jan
387,,36,Wire,Jan
76,,10,Wire,Jan
391,,-28,Wire,Jan
36,,22,Wire,Jan
360,,-209,Wire,Jan
626,,-3494,Wire,Jan
432,,-749,Wire,Jan
433,,-6,Wire,Jan
355,,51,Wire,Jan
112,,-2945,Wire,Jan
579,,-1554,Wire,Jan
98,,-2190,International,Jan
234,,-1078,Wire,Jan
727,,2572,Salary,Jan
197,,-844,Wire,Jan
592,,-584,Wire,Jan
174,,-236,Wire,Jan
705,,30,Wire,Jan
603,,-1526,Wire,Jan
203,,2,Wire,Jan
236,,-181,Wire,Jan
408,,6691,Salary,Jan
764,,113,Wire,Jan
351,,9685,Salary,Jan
667,319,3,Wire,Jan
381,,-1061,Wire,Jan
260,,-1861,Wire,Jan
434,,11,Wire,Jan
242,,-2110,International,Jan
966,,-1578,Wire,Jan
846,,49,Wire,Jan
878,,25,Wire,Jan
858,,-561,Wire,Jan
812,,-745,Wire,Jan
977,,-50,Wire,Jan
481,,-143,Wire,Jan
106,,14,Wire,Jan
145,,1522,Salary,Jan
886,,-235,Wire,Jan
172,,-305,Wire,Jan
483,,-1909,Wire,Jan
770,798,10,Wire,Jan
877,,10,Wire,Jan
688,,-3627,Wire,Jan
804,,-78,Wire,Jan
674,,-602,Wire,Jan
641,978,-15,Wire,Jan
24,,-1114,Wire,Jan
482,,-354,Wire,Jan
908,,-426,Wire,Jan
994,,2690,International,Jan
862,,-77,Wire,Jan
411,,-147,Wire,Jan
886,,-249,Wire,Jan
985,,-381,Wire,Jan
434,,-97,Wire,Jan
361,,-452,Wire,Jan
39,,5,Wire,Jan
623,,7416,Salary,Jan
866,,-77,Wire,Jan
80,151,11,Wire,Jan
357,,-2062,Wire,Jan
134,728,20,Wire,Jan
836,,5,Wire,Jan
539,,-101,Wire,Jan
549,,-581,Wire,Jan
397,,-214,Wire,Jan
486,,-215,Wire,Jan
634,,-635,Wire,Jan
584,,360,Cash,Jan
889,,-36,Wire,Jan
488,,-50,Wire,Jan
495,,5215,Salary,Jan
248,93,14,Wire,Jan
116,,9240,Salary,Jan
484,,49,Wire,Jan
93,,-230,Wire,Jan
950,,-26,Wire,Jan
838,,9355,Salary,Jan
744,,-54,Wire,Jan
615,,-91,Wire,Jan
101,,-111,Wire,Jan
916,,-1587,Wire,Jan
282,,-193,Wire,Jan
414,,-56,Wire,Jan
378,,4,Wire,Jan
677,767,-2,Wire,Jan
252,,9,Wire,Jan
49,,-980,International,Jan
110,,-1395,Wire,Jan
428,,610,Cash,Jan
729,,32,Wire,Jan
3,,-511,Wire,Jan
378,,1240,Salary,Jan
276,,-546,Wire,Jan
335,,55,Wire,Jan
33,,-888,Wire,Jan
833,236,-10,Wire,Jan
169,,6923,Salary,Jan
122,,9,Wire,Jan
544,,-91,Wire,Jan
576,,14,Wire,Jan
358,,21,Wire,Jan
186,,-117,Wire,Jan
548,,-236,Wire,Jan
334,,-153,Wire,Jan
814,,4684,Salary,Jan
57,795,-20,Wire,Jan
293,,-391,Wire,Jan
444,,-181,Wire,Jan
879,,-131,Wire,Jan
187,,-996,Wire,Jan
111,318,4,Wire,Jan
430,,-1629,Wire,Jan
835,,7,Wire,Jan
680,,-74,Wire,Jan
547,490,-16,Wire,Jan
542,,-299,Wire,Jan
14,,-2,Wire,Jan
268,,-420,Cash,Jan
120,,-7,Wire,Jan
727,,10,Wire,Jan
395,,-224,Wire,Jan
354,,-1562,Wire,Jan
852,269,-19,Wire,Jan
855,,14,Wire,Jan
365,852,-11,Wire,Jan
818,,-1035,Wire,Jan
785,,-4181,Wire,Jan
380,,-1118,Wire,Jan
825,,-1294,Wire,Jan
338,,8669,Salary,Jan
691,47,1,Wire,Jan
402,,-389,Wire,Jan
566,,-89,Wire,Jan
939,,-212,Wire,Jan
226,798,15,Wire,Jan
386,,1624,Salary,Jan
971,,1486,Salary,Jan
676,,-1107,Wire,Jan
215,,-498,Wire,Jan
135,,3365,Salary,Jan
958,,2129,Salary,Jan
573,,49,Wire,Jan
391,,56,Wire,Jan
636,,-40,Wire,Jan
146,,-242,Wire,Jan
583,,-423,Wire,Jan
422,,34,Wire,Jan
861,,-2535,Wire,Jan
543,,59,Wire,Jan
720,,73,Wire,Jan
973,,-211,Wire,Jan
733,,-1292,Wire,Jan
668,,-87,Wire,Jan
619,,-211,Wire,Jan
551,,930,International,Jan
428,,28,Wire,Jan
604,,100,Wire,Jan
633,460,-9,Wire,Jan
826,,560,Cash,Jan
379,,-287,Wire,Jan
953,,-44,Wire,Jan
748,710,-7,Wire,Jan
631,,-77,Wire,Jan
838,,15,Wire,Jan
511,,131,Wire,Jan
817,,87,Wire,Jan
585,,1050,Cash,Jan
551,,12,Wire,Jan
872,,-313,Wire,Jan
366,,-726,Wire,Jan
44,,-4031,Wire,Jan
255,,43,Wire,Jan
544,,-274,Wire,Jan
583,,2968,Salary,Jan
447,,-1658,Wire,Jan
585,,1430,Cash,Jan
838,,-1025,Wire,Jan
201,,-68,Wire,Jan
943,,-1588,Wire,Jan
232,,2627,Salary,Jan
532,,3,Wire,Jan
403,288,-1,Wire,Jan
474,719,-16,Wire,Jan
428,,7,Wire,Jan
932,,-1437,Wire,Jan
370,,-181,Wire,Jan
334,89,2,Wire,Jan
71,,-423,Wire,Jan
241,,-278,Wire,Jan
335,475,-19,Wire,Jan
552,,-281,Wire,Jan
95,,-520,Wire,Jan
201,,3181,Salary,Jan
505,,-681,Wire,Jan
622,,-423,Wire,Jan
854,,-403,Wire,Jan
916,,62,Wire,Jan
128,,-514,Wire,Jan
220,,1109,Salary,Jan
469,716,4,Wire,Jan
242,,-2460,International,Jan
299,,-245,Wire,Jan
844,508,-11,Wire,Jan
478,,-424,Wire,Jan
303,,34,Wire,Jan
757,,-260,Wire,Jan
569,,-688,Wire,Jan
796,,-275,Wire,Jan
781,,-729,Wire,Jan
371,,-399,Wire,Jan
809,,-59,Wire,Jan
508,,32,Wire,Jan
735,,-1021,Wire,Jan
333,,-846,Wire,Jan
121,,19,Wire,Jan
840,,4397,Salary,Jan
9,,-3549,Wire,Jan
944,,-49,Wire,Jan
481,,13,Wire,Jan
629,,5,Wire,Jan
721,,4,Wire,Jan
345,,-426,Wire,Jan
660,,11,Wire,Jan
992,332,27,Wire,Jan
496,,-1510,Wire,Jan
581,,30,Wire,Jan
730,,-119,Wire,Jan
843,,-20,Wire,Jan
684,,-106,Wire,Jan
47,,-500,Wire,Jan
123,,-11,Wire,Jan
756,,-416,Wire,Jan
80,,2201,Salary,Jan
738,,1652,Salary,Jan
636,,-391,Wire,Jan
796,,-790,Wire,Jan
539,,-323,Wire,Jan
550,,-1192,Wire,Jan
60,646,-9,Wire,Jan
240,,430,International,Jan
87,,-65,Wire,Jan
313,,28,Wire,Jan
494,,-178,Wire,Jan
826,127,-9,Wire,Jan
851,,24,Wire,Jan
733,,20,Wire,Jan
686,,-234,Wire,Jan
303,,14,Wire,Jan
50,,-888,Wire,Jan
913,,4,Wire,Jan
109,,4769,Salary,Jan
903,,-162,Wire,Jan
436,,-628,Wire,Jan
84,,-74,Wire,Jan
536,,-2340,Wire,Jan
415,,-423,Wire,Jan
224,,3,Wire,Jan
544,,-279,Wire,Jan
589,,-7,Wire,Jan
